Date,code,Hour,Value
2024-04-27,Sistema,01,8416268.81
2024-04-28,Sistema,01,8153358.39
2024-04-29,Sistema,01,7755006.39
2024-04-30,Sistema,01,8352906.12
2024-04-27,Sistema,02,8139684.03
2024-04-28,Sistema,02,7823646.09
2024-04-29,Sistema,02,7559477.81
2024-04-30,Sistema,02,8072548.61
2024-04-27,Sistema,03,7934365.14
2024-04-28,Sistema,03,7495560.68
2024-04-29,Sistema,03,7424995.07
2024-04-30,Sistema,03,7907747.18
2024-04-27,Sistema,04,7801216.87
2024-04-28,Sistema,04,7290789.06
2024-04-29,Sistema,04,7358043.41
2024-04-30,Sistema,04,7810048.02
2024-04-27,Sistema,05,7802711.66
2024-04-28,Sistema,05,7186795.65
2024-04-29,Sistema,05,7541190.63
2024-04-30,Sistema,05,7971088.05
2024-04-27,Sistema,06,7866953.71
2024-04-28,Sistema,06,7058942.05
2024-04-29,Sistema,06,7993483.44
2024-04-30,Sistema,06,8323477.64
2024-04-27,Sistema,07,8060693.66
2024-04-28,Sistema,07,6899473.59
2024-04-29,Sistema,07,8218854.74
2024-04-30,Sistema,07,8504266.51
2024-04-27,Sistema,08,8611512.5
2024-04-28,Sistema,08,7167562.93
2024-04-29,Sistema,08,8737461.99
2024-04-30,Sistema,08,8973752.21
2024-04-27,Sistema,09,9019758.21
2024-04-28,Sistema,09,7482302.18
2024-04-29,Sistema,09,9136051.0
2024-04-30,Sistema,09,9397498.22
2024-04-27,Sistema,10,9417098.64
2024-04-28,Sistema,10,7759851.09
2024-04-29,Sistema,10,9427128.2
2024-04-30,Sistema,10,9726111.36
2024-04-27,Sistema,11,9631106.7
2024-04-28,Sistema,11,8026182.22
2024-04-29,Sistema,11,9745374.94
2024-04-30,Sistema,11,10529865.29
2024-04-27,Sistema,12,9882655.08
2024-04-28,Sistema,12,8277771.71
2024-04-29,Sistema,12,10044638.03
2024-04-30,Sistema,12,10803828.37
2024-04-27,Sistema,13,9825242.61
2024-04-28,Sistema,13,8459761.83
2024-04-29,Sistema,13,9985168.43
2024-04-30,Sistema,13,10777075.18
2024-04-27,Sistema,14,9761981.47
2024-04-28,Sistema,14,8469134.8
2024-04-29,Sistema,14,10132913.19
2024-04-30,Sistema,14,10961999.92
2024-04-27,Sistema,15,9669628.56
2024-04-28,Sistema,15,8364289.97
2024-04-29,Sistema,15,10353215.34
2024-04-30,Sistema,15,11161301.7
2024-04-27,Sistema,16,9613448.98
2024-04-28,Sistema,16,8373980.81
2024-04-29,Sistema,16,10365625.7
2024-04-30,Sistema,16,11045595.58
2024-04-27,Sistema,17,9515583.9
2024-04-28,Sistema,17,8391670.64
2024-04-29,Sistema,17,10315355.57
2024-04-30,Sistema,17,10934418.58
2024-04-27,Sistema,18,9453804.19
2024-04-28,Sistema,18,8366776.05
2024-04-29,Sistema,18,10040895.25
2024-04-30,Sistema,18,10629771.16
2024-04-27,Sistema,19,10022279.38
2024-04-28,Sistema,19,9037799.05
2024-04-29,Sistema,19,10521997.09
2024-04-30,Sistema,19,10978013.44
2024-04-27,Sistema,20,10070282.41
2024-04-28,Sistema,20,9296771.6
2024-04-29,Sistema,20,10741050.68
2024-04-30,Sistema,20,11071133.94
2024-04-27,Sistema,21,9806988.02
2024-04-28,Sistema,21,9195967.42
2024-04-29,Sistema,21,10522650.66
2024-04-30,Sistema,21,10862661.4
2024-04-27,Sistema,22,9391935.06
2024-04-28,Sistema,22,8965875.21
2024-04-29,Sistema,22,10127382.98
2024-04-30,Sistema,22,10444038.22
2024-04-27,Sistema,23,8934686.71
2024-04-28,Sistema,23,8547088.54
2024-04-29,Sistema,23,9476883.76
2024-04-30,Sistema,23,9620134.47
2024-04-27,Sistema,24,8515651.18
2024-04-28,Sistema,24,8101750.18
2024-04-29,Sistema,24,8842359.25
2024-04-30,Sistema,24,9001628.16
